Date,ivol
27/12/2006,10.647
28/12/2006,10.9151
29/12/2006,11.3485
03/01/2007,11.5175
04/01/2007,11.2138
05/01/2007,11.6067
08/01/2007,11.6327
09/01/2007,11.611
10/01/2007,11.2684
11/01/2007,10.7509
12/01/2007,10.3874
16/01/2007,10.5646
17/01/2007,10.4536
18/01/2007,10.4386
19/01/2007,10.0598
22/01/2007,10.3767
23/01/2007,9.9381
24/01/2007,9.495
25/01/2007,10.4422
26/01/2007,10.4319
29/01/2007,10.6615
30/01/2007,10.2367
31/01/2007,9.8424
01/02/2007,9.7483
02/02/2007,9.6079
05/02/2007,9.9483
06/02/2007,9.8506
07/02/2007,9.7427
08/02/2007,9.9169
09/02/2007,10.3774
12/02/2007,10.7722
13/02/2007,9.8244
14/02/2007,9.6774
15/02/2007,9.662
16/02/2007,9.5596
20/02/2007,9.6145
21/02/2007,9.6404
22/02/2007,9.7312
23/02/2007,10.0703
26/02/2007,10.4881
27/02/2007,15.4407
28/02/2007,13.6076
01/03/2007,13.4939
02/03/2007,15.362
05/03/2007,16.1855
06/03/2007,13.8366
07/03/2007,13.4473
08/03/2007,12.9716
09/03/2007,12.7749
12/03/2007,12.3968
13/03/2007,15.3571
14/03/2007,14.7089
15/03/2007,14.074
16/03/2007,14.7539
19/03/2007,13.5409
20/03/2007,12.5779
21/03/2007,10.9954
22/03/2007,11.5972
23/03/2007,11.7869
26/03/2007,11.8251
27/03/2007,12.448
28/03/2007,13.6477
29/03/2007,13.5697
30/03/2007,13.4097
02/04/2007,13.2089
03/04/2007,12.4899
04/04/2007,12.4368
05/04/2007,12.1087
09/04/2007,12.2255
10/04/2007,11.7875
11/04/2007,12.405
12/04/2007,11.8041
13/04/2007,11.4703
16/04/2007,11.3013
17/04/2007,11.2297
18/04/2007,11.4745
19/04/2007,11.6833
20/04/2007,11.1236
23/04/2007,11.7612
24/04/2007,11.7752
25/04/2007,11.6679
26/04/2007,11.6602
27/04/2007,11.454
30/04/2007,12.5882
01/05/2007,12.1195
02/05/2007,11.798
03/05/2007,11.7885
04/05/2007,12.0143
07/05/2007,11.9578
08/05/2007,12.0709
09/05/2007,11.7378
10/05/2007,12.677
11/05/2007,12.1665
14/05/2007,12.8163
15/05/2007,12.9157
16/05/2007,12.361
17/05/2007,12.3782
18/05/2007,11.7789
21/05/2007,12.0368
22/05/2007,11.8939
23/05/2007,12.0628
24/05/2007,12.8446
25/05/2007,12.3219
29/05/2007,12.4842
30/05/2007,11.9632
31/05/2007,11.9953
01/06/2007,11.9528
04/06/2007,12.3142
05/06/2007,12.801
06/06/2007,13.6524
07/06/2007,15.1483
08/06/2007,13.6201
11/06/2007,13.7484
12/06/2007,14.7115
13/06/2007,13.6404
14/06/2007,13.0443
15/06/2007,13.1709
18/06/2007,13.0153
19/06/2007,12.6333
20/06/2007,14.0906
21/06/2007,13.8434
22/06/2007,15.0838
25/06/2007,15.5913
26/06/2007,16.6222
27/06/2007,14.6749
28/06/2007,14.6239
29/06/2007,15.4033
02/07/2007,14.5849
03/07/2007,14.2611
05/07/2007,14.3722
06/07/2007,14.0059
09/07/2007,14.2456
10/07/2007,15.8762
11/07/2007,15.3088
12/07/2007,14.4672
13/07/2007,14.4626
16/07/2007,14.8854
17/07/2007,14.9461
18/07/2007,15.264
19/07/2007,14.667
20/07/2007,16.0454
23/07/2007,15.6092
24/07/2007,17.1808
25/07/2007,16.5807
26/07/2007,17.9559
27/07/2007,20.6615
30/07/2007,18.7487
31/07/2007,20.7526
01/08/2007,20.8434
02/08/2007,19.4329
03/08/2007,22.5488
06/08/2007,19.964
07/08/2007,19.4458
08/08/2007,19.0774
09/08/2007,23.058
10/08/2007,23.9063
13/08/2007,22.4406
14/08/2007,23.8775
15/08/2007,25.9849
16/08/2007,26.3273
17/08/2007,24.728
20/08/2007,23.6957
21/08/2007,23.0119
22/08/2007,20.8027
23/08/2007,20.3156
24/08/2007,19.0766
27/08/2007,20.4384
28/08/2007,23.6203
29/08/2007,21.4111
30/08/2007,22.1542
31/08/2007,21.1932
04/09/2007,20.3344
05/09/2007,22.1951
06/09/2007,21.8564
07/09/2007,24.1142
10/09/2007,24.7711
11/09/2007,22.7537
12/09/2007,22.6579
13/09/2007,22.2104
14/09/2007,22.2336
17/09/2007,23.2132
18/09/2007,19.0499
19/09/2007,18.4072
20/09/2007,18.7807
21/09/2007,17.7369
24/09/2007,17.8615
25/09/2007,17.472
26/09/2007,16.7196
27/09/2007,16.22
28/09/2007,16.9952
01/10/2007,16.7133
02/10/2007,16.9767
03/10/2007,17.4757
04/10/2007,17.1604
05/10/2007,16.1908
08/10/2007,16.5368
09/10/2007,15.7285
10/10/2007,16.3027
11/10/2007,17.7801
12/10/2007,17.1712
15/10/2007,18.3671
16/10/2007,19.0588
17/10/2007,18.308
18/10/2007,17.9753
19/10/2007,20.9375
22/10/2007,20.3092
23/10/2007,19.0986
24/10/2007,19.6247
25/10/2007,19.8803
26/10/2007,18.5264
29/10/2007,18.4895
30/10/2007,19.3588
31/10/2007,17.4092
01/11/2007,21.237
02/11/2007,21.357
05/11/2007,22.0174
06/11/2007,19.9342
07/11/2007,23.6849
08/11/2007,23.5994
09/11/2007,25.334
12/11/2007,25.8224
13/11/2007,21.8757
14/11/2007,23.1256
15/11/2007,24.8939
16/11/2007,23.3346
19/11/2007,24.3659
20/11/2007,23.5965
21/11/2007,24.9884
23/11/2007,23.6695
26/11/2007,26.7692
27/11/2007,24.5579
28/11/2007,22.3596
29/11/2007,22.4643
30/11/2007,22.0361
03/12/2007,22.4702
04/12/2007,22.7138
05/12/2007,21.411
06/12/2007,19.9251
07/12/2007,20.1332
10/12/2007,19.9498
11/12/2007,22.4464
12/12/2007,21.6451
13/12/2007,21.8988
14/12/2007,22.4987
17/12/2007,24.1058
18/12/2007,22.9192
19/12/2007,22.0124
20/12/2007,20.9809
21/12/2007,18.8521
24/12/2007,18.6012
26/12/2007,18.5599
27/12/2007,20.0204
28/12/2007,20.4491
31/12/2007,21.6679
02/01/2008,22.5533
03/01/2008,21.8695
04/01/2008,23.4557
07/01/2008,22.7181
08/01/2008,24.453
09/01/2008,23.0393
10/01/2008,22.2547
11/01/2008,22.9838
14/01/2008,21.9774
15/01/2008,23.0472
16/01/2008,23.1899
17/01/2008,26.1162
18/01/2008,25.2052
22/01/2008,26.6835
23/01/2008,25.4373
24/01/2008,24.6846
25/01/2008,26.1102
28/01/2008,24.7504
29/01/2008,24.3006
30/01/2008,24.6458
31/01/2008,23.6585
01/02/2008,22.3142
04/02/2008,23.7606
05/02/2008,26.1821
06/02/2008,26.9404
07/02/2008,25.8637
08/02/2008,26.0035
11/02/2008,25.3265
12/02/2008,24.6661
13/02/2008,23.399
14/02/2008,23.9684
15/02/2008,23.8716
19/02/2008,23.8573
20/02/2008,22.7111
21/02/2008,23.4833
22/02/2008,22.6091
25/02/2008,21.9206
26/02/2008,20.909
27/02/2008,21.7792
28/02/2008,22.2634
29/02/2008,25.0046
03/03/2008,24.4483
04/03/2008,24.0212
05/03/2008,23.2985
06/03/2008,25.5129
07/03/2008,25.5912
10/03/2008,27.2381
11/03/2008,24.3892
12/03/2008,25.3156
13/03/2008,25.2365
14/03/2008,27.7947
17/03/2008,28.2937
18/03/2008,23.9047
19/03/2008,26.8324
20/03/2008,24.6539
24/03/2008,24.0254
25/03/2008,23.887
26/03/2008,24.3891
27/03/2008,24.4926
28/03/2008,24.5168
31/03/2008,23.9376
01/04/2008,21.6981
02/04/2008,22.637
03/04/2008,22.5011
04/04/2008,21.8556
07/04/2008,21.5092
08/04/2008,21.5964
09/04/2008,22.153
10/04/2008,21.4566
11/04/2008,22.5957
14/04/2008,22.8271
15/04/2008,22.0455
16/04/2008,20.2522
17/04/2008,19.8973
18/04/2008,19.0863
21/04/2008,19.509
22/04/2008,20.0071
23/04/2008,19.5882
24/04/2008,19.0856
25/04/2008,18.5569
28/04/2008,18.5245
29/04/2008,18.9545
30/04/2008,19.4572
01/05/2008,17.8578
02/05/2008,17.4691
05/05/2008,17.9228
06/05/2008,17.4987
07/05/2008,18.851
08/05/2008,18.4673
09/05/2008,18.6629
12/05/2008,17.9668
13/05/2008,17.8931
14/05/2008,17.421
15/05/2008,16.6005
16/05/2008,16.635
19/05/2008,17.0065
20/05/2008,18.0242
21/05/2008,19.2515
22/05/2008,18.5525
23/05/2008,19.4434
27/05/2008,19.3965
28/05/2008,18.7708
29/05/2008,17.8583
30/05/2008,17.6417
02/06/2008,18.9855
03/06/2008,19.4719
04/06/2008,19.7989
05/06/2008,18.2134
06/06/2008,21.7868
09/06/2008,21.5039
10/06/2008,21.3882
11/06/2008,22.3775
12/06/2008,21.7098
13/06/2008,20.171
16/06/2008,19.9838
17/06/2008,20.19
18/06/2008,21.2306
19/06/2008,20.3027
20/06/2008,21.5495
23/06/2008,21.2563
24/06/2008,21.2494
25/06/2008,20.3197
26/06/2008,22.8412
27/06/2008,22.4909
30/06/2008,22.4455
01/07/2008,22.1867
02/07/2008,23.9837
03/07/2008,23.1959
07/07/2008,23.7318
08/07/2008,21.4982
09/07/2008,23.5434
10/07/2008,23.5117
11/07/2008,24.9846
14/07/2008,25.5158
15/07/2008,25.6522
16/07/2008,23.0272
17/07/2008,22.4862
18/07/2008,22.1616
21/07/2008,21.6033
22/07/2008,19.9187
23/07/2008,20.2016
24/07/2008,22.0258
25/07/2008,21.4877
28/07/2008,22.8161
29/07/2008,20.7422
30/07/2008,19.9699
31/07/2008,21.5283
01/08/2008,21.644
04/08/2008,22.2236
05/08/2008,20.0222
06/08/2008,19.5553
07/08/2008,20.4851
08/08/2008,19.9752
11/08/2008,20.0391
12/08/2008,20.8581
13/08/2008,21.1539
14/08/2008,20.0541
15/08/2008,19.7072
18/08/2008,20.8596
19/08/2008,21.1652
20/08/2008,20.3994
21/08/2008,19.9277
22/08/2008,19.3182
25/08/2008,20.797
26/08/2008,20.5575
27/08/2008,19.9514
28/08/2008,19.2905
29/08/2008,20.4874
02/09/2008,21.1966
03/09/2008,20.9906
04/09/2008,22.8513
05/09/2008,22.1391
08/09/2008,21.6245
09/09/2008,23.9708
10/09/2008,23.307
11/09/2008,23.8004
12/09/2008,23.9498
15/09/2008,27.0276
16/09/2008,26.7995
17/09/2008,29.3686
18/09/2008,28.5861
